Dog_Name,Dog_Breed,Location_masked,Latitude_masked,Longitude_masked,Neighborhood
Shula,Cockapoo,,42.38630,-71.11970,Baldwin
SMOKEY,Beagle,,42.36590,-71.09850,The Port
Josephine,Terrier mix,,42.36910,-71.10410,Mid-Cambridge
Sadie,Jack Russell Terrier,,42.37660,-71.12510,West Cambridge
Toaster,Goldendoodle,,42.36330,-71.10260,The Port
Jasper,Black and Tan Coonhound,,42.39690,-71.12950,North Cambridge
jake,dalmation,,42.38300,-71.13210,Neighborhood Nine
Olive,Australian Shepherd,,42.38370,-71.12340,Neighborhood Nine
Tifa,Australian Shepherd,,42.38480,-71.12410,Neighborhood Nine
Katie,Mixed Breed,,42.39380,-71.11960,North Cambridge
NORBERT,Australian Terrier,,42.38900,-71.13800,Neighborhood Nine
HOMER,Labrador Retriever Mix,,42.38330,-71.13050,Neighborhood Nine
Athena,Mixed Breed,,42.38040,-71.12300,Neighborhood Nine
Rusty,American Pit Bull Terrier,,42.37030,-71.10770,Mid-Cambridge
Lucy,Labrador Retriever,,42.39010,-71.12070,North Cambridge
Jake,Mixed Breed,,42.37350,-71.10870,Mid-Cambridge
Huckleberry (Huck),Mixed Breed,,42.38410,-71.12290,Neighborhood Nine
Cleo,West Highland terrior,,42.37900,-71.12380,Neighborhood Nine
Cora,Mixed Breed,,42.37340,-71.12300,West Cambridge
Lego,Mixed Breed,,42.38400,-71.13960,West Cambridge
Oakie,Goldendoodle,,42.38760,-71.12380,Neighborhood Nine
Oscar,Irish Water Spaniel,,42.39010,-71.11910,Neighborhood Nine
Mochi,Labradoodle,,42.36960,-71.10620,Mid-Cambridge
Moby,Poodle,,42.38820,-71.13250,Neighborhood Nine
Rosie,Mixed Breed,,42.37570,-71.13630,West Cambridge
Sally,Mixed Breed,,42.37230,-71.12470,West Cambridge
Marlo,Shepard / Lab,,42.36960,-71.10120,Mid-Cambridge
Frances,Cavapoo,,42.35550,-71.10470,Cambridgeport
Kingsley,Mixed Breed,,42.38470,-71.13330,Neighborhood Nine
BIB,Cockerpoo,,42.37910,-71.10970,Baldwin
Emma,Mixed Breed,,42.38360,-71.13140,West Cambridge
Beau,Labrador Retriever,,42.38620,-71.13810,Neighborhood Nine
Ewok Kelebek,Papillon,,42.38130,-71.14880,Strawberry Hill
Rufus,Poodle,,42.37460,-71.13390,West Cambridge
Ari,Golden Retriever,,42.38350,-71.12390,Neighborhood Nine
Bisou,Standard Poodle,,42.37560,-71.14040,West Cambridge
Ellie,Lab/Pit,,42.37070,-71.10400,Mid-Cambridge
Ruby,Boxer X,,42.38420,-71.14090,West Cambridge
Oliver Cuyama Albano,Maltese,,42.38230,-71.12400,Neighborhood Nine
ZIGGY,Golden Doodle,,42.39680,-71.12840,North Cambridge
Pringle,Cocker Spaniel Mix,,42.37540,-71.08110,East Cambridge
Banner,Pembroke Welsh Corgi,,42.36060,-71.09880,Cambridgeport
Leckie,Great Dane,,42.38170,-71.13650,West Cambridge
Luna,Mixed Breed,,42.39250,-71.13000,North Cambridge
Charley,Mixed Breed,,42.38190,-71.11800,Baldwin
Kristianna,Pomeranian Mix,,42.37060,-71.10040,Wellington-Harrington
LOLA,Labrador Retriever,,42.37560,-71.14560,West Cambridge
Margaret,Australian Shepherd,,42.37530,-71.07670,East Cambridge
PHOEBE,Schipperke,,42.38220,-71.13630,West Cambridge
Ben,Mixed Breed,,42.39380,-71.12170,North Cambridge
BONNIE,Cockerpoo,,42.39630,-71.13440,North Cambridge
Braeley,Belgian Tervuren,,42.37770,-71.14320,West Cambridge
Ella,Poodle,,42.38320,-71.15690,Strawberry Hill
Jaxx,Doodle,,42.37860,-71.10820,Mid-Cambridge
Louie,Poodle,,42.36970,-71.11120,Mid-Cambridge
Kiki,Labrador Retriever,,42.38930,-71.13730,Neighborhood Nine
Charley,Mixed Breed,,42.38210,-71.11640,Baldwin
Maggie,Mixed Breed,,42.36900,-71.07940,East Cambridge
Clementine,Mixed Breed,,42.36690,-71.10680,Riverside
Delilah,Mutt,,42.37040,-71.07800,East Cambridge
Truffle,Siberian Husky,,42.38960,-71.13440,Neighborhood Nine
Sadie,Cavapoo,,42.36680,-71.10200,Mid-Cambridge
Cooper,Cairn Terrier,,42.38110,-71.12530,Neighborhood Nine
Ace,Patterdale Terrior,,42.36050,-71.08840,Area 2/MIT
Jillian,Poodle,,42.36170,-71.11110,Riverside
LOUIS,"Dachshund, Wirehair",,42.36990,-71.07810,East Cambridge
Maisy,Cockapoo,,42.37960,-71.14490,West Cambridge
Darwin,Mutt,,42.38120,-71.15420,Strawberry Hill
Ziggy,Labradoodle,,42.38050,-71.13990,West Cambridge
Tucker,Mixed Breed,,42.38690,-71.12770,Neighborhood Nine
Enzo,Mixed Breed,,42.36450,-71.10540,Cambridgeport
Moose,Bernese Mountain Dog,,42.37590,-71.15330,Strawberry Hill
Henry,Labradoodle,,42.37710,-71.11070,Baldwin
Sawyer,Cavalier King Charles Spaniel,,42.38480,-71.12260,Neighborhood Nine
Abby,Mixed Breed,,42.37700,-71.15420,Strawberry Hill
Jacki,Mixed Breed,,42.39740,-71.12870,North Cambridge
Kuma,Shiba Inu,,42.37380,-71.09690,Wellington-Harrington
Marusiya,Borzoi,,42.38250,-71.12670,West Cambridge
SKYE,Irish Wolfhould,,42.36780,-71.08400,East Cambridge
Sibley,LABRADOODLE,,42.38760,-71.12670,Neighborhood Nine
Trixie,Flat-Coated Retriever,,42.38110,-71.12390,Neighborhood Nine
Ulla,Mixed Breed,,42.36780,-71.09690,Wellington-Harrington
Macchi,Goldendoodle,,42.37180,-71.07330,East Cambridge
GEORGE,Yorkie  Poo,,42.37130,-71.09550,Wellington-Harrington
Lentil,Newfoundland,,42.37660,-71.14070,West Cambridge
EVIE,Tibetan Terrier,,42.38380,-71.13740,West Cambridge
Millie,Mixed Breed,,42.37390,-71.10740,Mid-Cambridge
Joseph,Labradoodle,,42.37750,-71.14540,West Cambridge
Millie,Mixed Breed,,42.37450,-71.08270,East Cambridge
Ryder,Standard Poodle,,42.37840,-71.13580,West Cambridge
Tasha,Labrador Retiever,,42.37440,-71.13820,West Cambridge
Pepper,Mixed Breed,,42.36900,-71.11150,Riverside
Miss Merrimack /“Merry”,Cairn Terrier,,42.39480,-71.12420,North Cambridge
Thor,Boxer,,42.36530,-71.08160,East Cambridge
WILLIE,Dachshund,,42.36390,-71.11030,Cambridgeport
Boo,Mixed Breed,,42.38860,-71.11630,Baldwin
Maple,Havanese,,42.38930,-71.13000,North Cambridge
Hazel,Pembroke Welsh Corgi,,42.36500,-71.09940,The Port
Emerald,Pocket Beagle,,42.37930,-71.12210,Neighborhood Nine
WINDSOR,Cocker Spaniel,,42.37160,-71.08350,East Cambridge
Gaia Grace LaRoche,Mixed Breed,,42.38350,-71.13700,Neighborhood Nine
Willow,Mixed Breed,,42.36910,-71.10750,Mid-Cambridge
Zeus,Mixed Breed,,42.40100,-71.15100,North Cambridge
Gracie,Mixed Breed,,42.38240,-71.14080,West Cambridge
Sophie (aka Daisy Mae),Mixed Breed,,42.39450,-71.13180,North Cambridge
Elinor Bruff Clarke-Shady,Mixed Breed,,42.38180,-71.11790,Baldwin
Lady,Mini Bernedoodle,,42.37450,-71.10420,Mid-Cambridge
