Dog_Name,Dog_Breed
Shula,Cockapoo
SMOKEY,Beagle
Josephine,Terrier mix
Sadie,Jack Russell Terrier
Toaster,Goldendoodle
Jasper,Black and Tan Coonhound
jake,dalmation
Olive,Australian Shepherd
Tifa,Australian Shepherd
Katie,Mixed Breed
NORBERT,Australian Terrier
HOMER,Labrador Retriever Mix
Athena,Mixed Breed
Rusty,American Pit Bull Terrier
Lucy,Labrador Retriever
Jake,Mixed Breed
Huckleberry (Huck),Mixed Breed
Cleo,West Highland terrior
Cora,Mixed Breed
Lego,Mixed Breed
Oakie,Goldendoodle
Oscar,Irish Water Spaniel
Mochi,Labradoodle
Moby,Poodle
Rosie,Mixed Breed
Sally,Mixed Breed
Marlo,Shepard / Lab
Frances,Cavapoo
Kingsley,Mixed Breed
BIB,Cockerpoo
Emma,Mixed Breed
Beau,Labrador Retriever
Ewok Kelebek,Papillon
Rufus,Poodle
Ari,Golden Retriever
Bisou,Standard Poodle
Ellie,Lab/Pit
Ruby,Boxer X
Oliver Cuyama Albano,Maltese
ZIGGY,Golden Doodle
Pringle,Cocker Spaniel Mix
Banner,Pembroke Welsh Corgi
Leckie,Great Dane
Luna,Mixed Breed
Charley,Mixed Breed
Kristianna,Pomeranian Mix
LOLA,Labrador Retriever
Margaret,Australian Shepherd
PHOEBE,Schipperke
Ben,Mixed Breed
BONNIE,Cockerpoo
Braeley,Belgian Tervuren
Ella,Poodle
Jaxx,Doodle
Louie,Poodle
Kiki,Labrador Retriever
Charley,Mixed Breed
Maggie,Mixed Breed
Clementine,Mixed Breed
Delilah,Mutt
Truffle,Siberian Husky
Sadie,Cavapoo
Cooper,Cairn Terrier
Ace,Patterdale Terrior
Jillian,Poodle
LOUIS,"Dachshund, Wirehair"
Maisy,Cockapoo
Darwin,Mutt
Ziggy,Labradoodle
Tucker,Mixed Breed
Enzo,Mixed Breed
Moose,Bernese Mountain Dog
Henry,Labradoodle
Sawyer,Cavalier King Charles Spaniel
Abby,Mixed Breed
Jacki,Mixed Breed
Kuma,Shiba Inu
Marusiya,Borzoi
SKYE,Irish Wolfhould
Sibley,LABRADOODLE
Trixie,Flat-Coated Retriever
Ulla,Mixed Breed
Macchi,Goldendoodle
GEORGE,Yorkie  Poo
Lentil,Newfoundland
EVIE,Tibetan Terrier
Millie,Mixed Breed
Joseph,Labradoodle
Millie,Mixed Breed
Ryder,Standard Poodle
Tasha,Labrador Retiever
Pepper,Mixed Breed
Miss Merrimack /“Merry”,Cairn Terrier
Thor,Boxer
WILLIE,Dachshund
Boo,Mixed Breed
Maple,Havanese
Hazel,Pembroke Welsh Corgi
Emerald,Pocket Beagle
WINDSOR,Cocker Spaniel
Gaia Grace LaRoche,Mixed Breed
Willow,Mixed Breed
Zeus,Mixed Breed
Gracie,Mixed Breed
Sophie (aka Daisy Mae),Mixed Breed
Elinor Bruff Clarke-Shady,Mixed Breed
Lady,Mini Bernedoodle
Buka,Mixed Breed
Summit Blue,Mixed Breed
Pepper,Mixed Breed
Sunny,Labrador Retriever
SUNNY,Welsh Terrier
Chance Peanut Butter,Mixed Breed
Leo,Cockapoo
Zia,Goldendoodle
SMUDGE,HAVANESE
Arien,Terrier Mix
Sugar Pie,Mixed Breed
Cosimo,Weimaraner
FERGUS,TERRIER X
Edie,Polish Lowland Sheepdog
Callie,Beagle  Mix
Coco,LABRADOODLE
LuLu,Poodle
Flanders,Mixed Breed
Willow,Bernese Mountain Dog
Bowie,VIZSLA
Lucy,Poodle
Butter,Retriever Mix
Wood-ear,Weimaraner
HOMER,Cockerpoo
Emma,Lakeland Terrier
Shelby,Polish Lowland Sheepdog
Milo,Golden Retriever
Chica Maria,Labrador Retriever
Koda,Mixed Breed
Messi,mixed
Wee Geordie,Cairn Terr
JOLENE,Samoyed
Bob,MINIATURE POODLE
Roxy,Mixed Breed
Puddles,Labrador Retriever  Mix
Piper,wippet
MAXIMUS,LABRADOR RETREIVER
Pickles Rover Wright-Katz,Mixed Breed
WINSTON,Mixed Breed
Ana,Great Pyrenees
Moz Warring,Mixed Breed
Trudy,Goldendoodle
PIKA,Golden Retriever
Minnie,SCOTTISH  TERRIER
FIONA,Mixed Breed
Tucker,ShihTzu
Toby,Mixed Breed
Amity,Portuguese Water Dog
FERGUS,Labradoddle
Bernese Sanders,Bernese Mountain Dog
Emmy,Duck Tolling Retriever
STANLEY,Hound X
Rover,Labrador Retriever
Lucy,Mixed Breed
Rosco,Mixed Breed
Laika,Mixed Breed
Maisie Bowden,Mixed Breed
Stella Sculley,Border Collie Mix
Peaches,Mixed Breed
Obi,Goldendoodle
Jasper,Golden Retriever
Tess,Mixed Breed
Mickey,Bernedoodle
Vooche,Siberian Husky
Ethan,Labrador Retriever
Tootsie,Mixed Breed
Peyton,Mixed Breed
Pesto,Mixed Breed
Cella,Mixed Breed
Penny,beagle
Reno,Australian Shepherd
Bunny,Toy Poodle
Coriander,Cavalier King Charles Spaniel
ROSIE,Shih Tzu
Axel Mowatt,Huskey
Belle,Mixed Breed
EMMA,Boxer
Huriya,Mixed Breed
Scout,Beagle
Jangchub,Mixed Breed
Nola,Mixed Breed
Finn,Bernese Mountain Dog
Clementine,Labrador Retriever
LUA,Labradoddle
Pepper,Mutt
Nola,Mixed Breed
Pippi,West Highland White Terrier
Luna,LABRADOODLE
Charlie Bear,Yorkie mix
Lincoln,Terrier Mix
Rocky,Maltipoo
Maximus,GSD/Husky
STELLA,SCHNOODLE
Madeleine de Puddles,POODLE MIX
Waffles,Labradoodle
Noodle,Mixed Breed
MUFFIN,Yorkie  Poo
Leo,Sato
Chego,Shiba Inu
Ana,Mixed Breed
Penny,Mixed Breed
Penny,Mixed Breed
Kiva,Cockapoo
Willow,Goldendoodle
Ziggy,Mixed Breed
Mars,ALASKAN MALAMUTE
Winnie,Cairn Terrier
Chloe,Mixed Breed
Mika,Mixed Breed
Hopper,Cavapoo
Max,Poodle
Bella,Mixed Breed
Sam,Poodle
Sadie,Mixed Breed
Whizzby,Whippet
Humphrey,Pug
Remy,Mixed Breed
Teddy ,Labradoodle
Bobbie,Dachshund (Standard)
STITCH,English Bulldog
Gus,Goldendoodle
Roscoe ,Mixed Breed
Birdie,Lab
Pia,Morkie
Panda,Mixed Breed
Toby,Labradoodle
Dou Bao,Havanese
Moxie,Dachshund
Riley,Golden Retriever
Pocky,Mixed Breed
Jarvis,French Bulldog
Darwin,Irish Setter
Mila,Mixed Breed
Hayden,Havanese
Willow,labradoodle
Persy,Labradoodle
Azu,Yorkipoo
Annie,Australian Shepherd
Griffey Maslan,Labradoodle
Samba,Mixed Breed
Tonks,English Springer Spaniel
Finnegan,Carolina Dog
Snoopy ,Mixed Breed
Luna,French Bulldog
Cochiti,Tibetan Terrier
FRED,POODLE
Wally,Morkie
Butch,Mixed Breed
Goldie,Labrador retriever
Pongo,Mixed Breed
Toffee,Maltipoo
Koda,Siberian Husky
Milton,Goldendoodle
Korra,Mixed Breed
Noodles,Mixed Breed
Williston “Willie” James Oldham,Cavalier King Charles Spaniel
Rosie Flynn,Goldendoodle
Zorro,Mixed Breed
Maizey,Mixed Breed
Koba,American Staffordshire Terrier
MINNIE,Mix
MANNIE,BEAGLE
Bibi,Poodle/Australian Shephard Mix
Jack,Mixed Breed
Charlie,Golden Retriever
Disco,Mixed Breed
Chestnut LeSoltis,Bernedoodle
Buddy,Mixed Breed
Baxter,Mixed Breed
Piper,Mixed Breed
Moxie,Mountain Cur Mix
Pedro,Miniature Schnauzer
Roxie,Labrador Retriever
Juno,Golden Retriever
Pippy ,Mixed Breed
Bear,Pomeranian
Franny,Shep Mix
Luna,Mixed Breed
Ruru,Mixed Breed
Grace,Mixed Breed
Brillo,Dachshund
Rigby,Mixed Breed
LATTE,Tea Cup Poodle
Layla,Labradoodle
Maple,Goldendoodle
Clio,Mixed Breed
Lucy,Mixed Breed
Pippi,Welsh Terrier
Jasper,Mixed Breed
Bingley,Labrador Retriever
Kaito Nakajima,Portugese Water Dog
Julius,Shiba Inu
Trixie,Labradoodle
Cooper,Mixed Breed
Jacob,HAVANESE
Duncan,Lab Mix
Emi,Mixed Breed
ZEKE,Poodle
Mika,Mixed
Franklin,Puggle
MAGNOLIA,TERRIER X
Queen Sheba,Poodle
Charlie,Mixed Breed
Yoshi,Goldendoodle
COCO,German Shorthaired Pointer
Otto,Dachshund
Cecil,Mixed Breed
Bodie,Goldendoodle
ZIGGY,MINIATURE  POODLE
Mitzie,Austrailian Labradoodle
Jackson Wyatt,German Short Haired Pointer
Annie,Mixed Breed
Westie,Golden Retriever
Mack,Cockapoo
Bucky aka Buckminster,Poodle
georgia,Labradoodle
Maisy,Golden Retriever
ZOEY,Golden Doodle
Ranfo,Samoyed
Teagan,Mixed Breed
Zumi,Mixed Breed
Roxy,Mixed Breed
KILEY,Wheaton Terrier
Penny Fisher,Bernedoodle
Maximus,Golden Retreiver
Walden,Mixed Breed
Greta,Soft Coated Wheaten Terrier
Whitney,Lab Coonhound Mix
Riley Soroca,Golden Retriever
Rosie,Labrador Retriever
Maga,Shih Tzu Mix
Nairobi,Rhodesian Ridgeback
Clarence,Mixed Breed
Ozzy,Mixed Breed
Lola,mini shnauzer
FARGO,MIXED
ALLI,Australian  Shepherd X
Beau,French Bulldog
TAXI,Cocker Spaniel
Hank Aaron ,Mixed Breed
Pippi,Mixed Breed
griffin,Mixed Breed
Odin,Bernedoodle
Pepper,Mixed Breed
"David ""Bowie"" Alvarez-Stowe",Cocker Spaniel
Lulu,Labrador Retriever
ELLIE MAE,Puggle
MOXIE,Shih Tzu X
Friday,Mixed Breed
Scout,HAVANESE
Tula,Labrabor Retriever
Piper,Mixed Breed
Lila,Border Terrier Mix
Zoomer,Bernedoodle
Cali,Weimaraner
Miller,Border Collie
Harry,Australian Terrier
BUDDY,Great Pyrenese X
TATOO,Beagle X
Ivy,Australian Shepherd
Bruno,lab  retreiver
"Tasman (""Taz"")",Mixed Breed
Oscar,Newfoundland
Mango,Labrador Retriever
Luna Levitt,Goldendoodle
Niccolo,Dachshund
Rowna,Cairn Terrier
Hobbs,Boxer
Otter,Mixed Breed
Bessie,mixed
Duncan,English Bulldog
Pemi,Mixed Breed
Cousy,Beagle
Dipper,YORKSHIRE TERRIER
Apapacho (Pacho) ,Mixed Breed
Lemon,Dachshund
Thalia,Labrador Retriever
Winnie,Mixed Breed
Sydney Salguero,Labraddoodle
Rex,Pembroke Welsh Corgi
Rosie,Goldendoodle
Taco,Mixed Breed
Glitch,Australian Shepherd
Olly (Oliver),Australian Shepherd
Pepper,Mixed Breed
Indiana,Mixed Breed
Poppy Klein,Bernese Mountain Dog
Jax,German Shepard / Lab
Benny,Yorkshire  Terrier
Mosey,Border Collie 
Romeo,POMERANIAN
Tau,Mixed Breed
Ziggy Kobetis-Liang,BEAGLE
Noble,Pit mix
Tucker,Mixed Breed
Kafka,Shiba Inu
LuLu,Yorkipoo
Luka,Labrador Retriever
PARKER,Pointer X
Mishka,Portuguese Water Dog
Sengie,LABRADOODLE
ROSCO,PAPILLON
LEONARD,Bichon Frise
CHUI,MASTIFF
Guava,Mixed Breed
Mochi,West Highland White Terrier
Bowie,LAB   MIX
PANCHO,Mixed Breed
Bailey,Golden Retriever
Lucy,Terrier mix
Millie,Mixed Breed
Blaze,Mixed Breed
Margo,Terr.
Prince,King Charles Cav Spaniel
Walter,Bearded Collie
Buckle,Portuguese Water Dog
ROMEO,MINIATURE SCHNAUZER
Luna,Mixed Breed
Benny,Yorkshire Terrier
loulou,Labrador Retriever
Mango,Shiba Inu
Rudy,Mixed Breed
BELA,VIZSLA
Ziggy,Golden Retriever
Potomac,Border Collie mix
LOLA,English Cocker Spaniel
RICHARD,Hound Mix
Sully,Goldendoodle
Eevee,Pembroke Welsh Corgi
Hank,Weimaraner  Mix
Juniper,Irish Setter
Chira,Chihuahua
Nellie,Pug
Roxy,Mixed Breed
Roscoe Klein,Terrier Mix
Haru,Papillon
Brutus,Labrador Retriever Mix
FINN,Beagle Mix
Arlo,Goldendoodle
WANGCHUK / CHUK,Shih Tzu
Lola,Dashund
Indigo,Mixed Breed
Bentley,Silky Terrier
Jack,Mixed Breed
FRIDA,Labrador Retriever Mix
Olive,Cavalier King Charles Spaniel
Sandy,CAIRN TERRIER
Murphy,Mixed Breed
MEADOW,AUSTRALIAN SHEPHERD/MINI
Jaden,australian Cattle dog
Luna Tallon,Labradoodle
Tucker,Golden Retriever
MOLLY,German Shepherd
Ferb,Mixed Breed
Bella,dachhund
Penelope,Goldendoodle
"Wellfleet ""Welly""",Labrador Retriever
Joni,Mixed Breed
Sally Gifford,Labrador Retriever
Mister,Mixed Breed
Rufus,Australian Shephard
Acadia,Labrador Retriever
Tandy,Australian Cattle Dog
Luna,Mixed Breed
Luna,Australian Shepherd
Tiger Lily,Dalmatian
Oakie,King Charles  Spaniel
Skip,Australian Cattle Dog
Lulu Haltom,Beagle
Charley,cockapoo
Kya Ferber-Veeck,Goldendoodle
Savannah,Mixed Breed
Orla,Mixed Breed
Scout,German Shepherd Dog
Annika,Alaskan Malamute
Louie,Australian Cattle Dog
Kima,Labrador Retriever  Mix
Cedar,Australian shephard
Oliver,Poodle
Misha,German Shepherd Dog
Milo,Mixed Breed
Sandy,Cocker Spaniel
Tillie,Australian Shepherd
Paisley,Golden Retriever
Rigby,Heeler X
Nalah,Cane Corso
Clem,Cattle Dog Mix
Luna,Mixed Breed
Luna Wednesday Bancroft,Austrailian Labradoodle
Lucy,Golden  Retriever
Cyon,Goldendoodle
Arlie,Shetland Sheepdog
Woody,Norfolk Terrier
Mia,Labrador Retriever
Buddy,Mixed Breed
luna,Australian Shepherd
ADELAIDE,Labradoddle
HARRY,Yorkie  Poo
Daphne,MINIATURE SCHNAUZER
Cooper,Mixed Breed
Jazz,Pomeranian
Kudu,Basenji
Walden,Golden Retriever
Yuki,Mixed breed
Julius,Doberman
Albus Dumbledoodle,Goldendoodle
RICKY,POMERANIAN
Candy,Beagle
Bennie,Havanese
winston,Soft Coated Wheaten Terrier
Martha,Mixed Breed
PEPE,Maltipoo
Cooper,LABRADOR RETREIVER
Samson,Rat Terrier Mix
Leo,Terrier Mix
WOOSTER,English Cocker Spaniel
NINA,Spaniel Mix
Mia,Yorkie-Poo
Kingston,Terrier
Madra,Mixed Breed
Otto,Jack Russell Terrier
Penelope,Labrador Retriever
LEXI,Maltese
Monty,Labrador Retriever
Willow,Mixed Breed
Morey,Labrabor Retriever
Gus,MIXED
Cookie,Chihuahua
Nova Sagan,Mixed Breed
Kaya,Tibetan Terrier
Athena,Mixed Breed
Marty McFly,Golden Retriever
Jackson,Mixed Breed
Marcus,Welsh Springer Spaniel
Jilly,Retriever (Lab Mix)
Benno,Shepherd mix
Otto,Labradoodle
Messi,mixed
Kiwi,Mixed Breed
Niko,Mixed Breed
Kevin,Border Collie
Russet,Mixed Breed
RUDI 3,Shih Tzu
Pepper,Mixed Breed
Magnolia,cockapoo
Ziggy,Labradoodle
Onyx,Labrador Retriever
Tula Lou,Mixed Breed
Atkin,golden retriever
Hillary,Mixed Breed
Coco,POODLE
Lexington,Cavalier King Charles Spaniel
Ladybird Underfoot,English Cocker Spaniel
Valentino,Mixed Breed
Jai,"Australian Shepherd, Miniature"
Sophie,Pomsky
Sugar,Nova Scotia Duck Tolling Retriever
GEORGETTE,Belgian Malinois X
Hamish,Cavapoo
Susie,Dachshund
Mikasa,Poodle
Sherlock,Mixed Breed
Sadie,Cavachon
Sasha,Australian Shepherd
Fern,Mutt
Luca,Mixed Breed
ZOE,Whippet
TIKAANI,Alaskan Malamute
Sally,LABRADOR RETRIEVER
Riley,Golden Retriever
Maya,Golden Retriever
Nico,Siberian Husky
Tiger,Chihuahua
CHLOE,Polish Lowland Sheepdog
Rufus,Mixed Breed
Rufus,Labradoodle
Django,Australian Cattle Dog
Deku,Mixed Breed
Blue,Border Terrier
Rosie,Cockapoo
Ollie,Golden Retriever
Portia,Havanese
LILY,LABRADOR RETREIVER
Nigel (previously Zaxby),Mixed Breed
Cora,Mixed Breed
Luna,Mixed Breed
Panda,Poodle
Oreo Cookie,Poodle
Rosie,DACHSHUND MIX
Theo,Mixed Breed
Lorelei,Golden Retriever
Milo,Yorkshire Terrier
Pippi Longpuppy,Mixed Breed
REMY,Golden Doodle
Yogi,Mixed Breed
Koda,Mixed Breed
Freya,Labrador Retriever / Shepherd
Cupid,Lahsa Apso
Fitz,Pomsky
Presley,Mixed Breed
Maddie Berseth,Mutt
Bijou,Border Terrier
Ruby,GREYHOUND
Django,Mixed Breed
Scout,Lagotto Romagnolo
Minnie,Glen of Imaal Terrier
Pasco,Mixed Breed
Maya,Australian Shepherd
Millie,English Springer Spaniel
Sonny,Jack Russell Terrier
Keyani,mix
Anzu,Mixed Breed
Sadie,Samoyed
Vince,Mixed Breed
Ryley,Miniature Schnauzer
Ralph,Bichon Frise
Ollie Barrett,Goldendoodle
DAKOTA,Portuguese  Water  Dog
Maisie,American Eskimo Dog
Toby,Mixed Breed
Phoebe,Labradoodle
Buffy ,Tibetan Terrier
Maple Weiss,Mixed Breed
Corey,English Cocker Spaniel
TUCKY SUE,Golden Doodle
Frankie,shitzu
CHARLIE BLONDE,LABRADOR RETREIVER
Scout,Labradoddle
Rose,Mixed Breed
LULU,Sato
Otis,Mixed Breed
Maisie,Australian Cattle Dog
Bagel,Labradoodle
Ollie,Bernedoodle
Tala,Goldendoodle
Nala,Mixed Breed
Albie,LABRADOODLE
Bourbon,Miniature Pinscher
Georgie,Lhasa Apso
Lulu,Nova Scotia Duck Tolling Retriever
Murphy,Border Collie
Lucy,Goldendoodle
Ranger,Aust Shep Mix
King Shaka Zulu,Poodle
DAISY,Terrier Mix
Teddy,Mixed Breed
Alice,POINTER MIX
Piper,Australian Cattle Dog
Archie,Mixed Breed
Scout,Labrador Retriever
